observation_id,date,year,latitude,longitude,accuracy_m,reliability,record_type,source_collection,province,grid_id
http://tun.fi/HR.3211/240734161-U,2024-09-09,2024,60.26906,25.19133,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6680000-E390000
http://tun.fi/HR.3211/241242726-U,2024-09-12,2024,60.29285,24.56193,10.0,NEUTRAL,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6680000-E360000
http://tun.fi/HR.3211/241284864-U,2024-09-12,2024,65.00354,25.46002,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Oulun Pohjanmaa (OP),ETRS-TM35FIN-10km-N7200000-E420000
http://tun.fi/HR.3211/241433808-U,2024-09-13,2024,61.20214,28.73641,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Etelä-Savo (ES),ETRS-TM35FIN-10km-N6780000-E590000
http://tun.fi/HR.3211/241625271-U,2024-09-14,2024,63.5649,27.19747,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Pohjois-Savo (PS),ETRS-TM35FIN-10km-N7040000-E500000
http://tun.fi/JX.1768486#3,2024-09-14,2024,60.393553,25.057653,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Uusimaa (U),ETRS-TM35FIN-10km-N6690000-E390000
http://tun.fi/HR.3211/241833811-U,2024-09-15,2024,60.29252,25.14627,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6680000-E390000
http://tun.fi/JX.1768805#111,2024-09-15 [13:51-15:53],2024,61.465922,23.811964,1.0,NEUTRAL,Observation,The Atlas of Finnish Fungi,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6810000-E330000
http://tun.fi/JX.1769133#45,2024-09-16 [16:27-19:09],2024,60.094944,22.870806,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6660000-E270000
http://tun.fi/HR.3211/242265133-U,2024-09-17,2024,63.36101,27.40273,10.0,NEUTRAL,Photographed,iNaturalist Suomi Finland,Pohjois-Savo (PS),ETRS-TM35FIN-10km-N7020000-E520000
http://tun.fi/HR.3211/242312133-U,2024-09-17,2024,61.37791,22.93749,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Satakunta (St),ETRS-TM35FIN-10km-N6810000-E280000
http://tun.fi/HR.3211/242504924-U,2024-09-18,2024,60.3525,22.22156,21.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6700000-E230000
http://tun.fi/HR.3211/242632222-U,2024-09-19,2024,60.2337,25.13901,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6670000-E390000
http://tun.fi/HR.3211/242715108-U,2024-09-19,2024,60.23781,25.14281,10.0,NEUTRAL,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6670000-E390000
http://tun.fi/HR.3211/242716826-U,2024-09-19,2024,60.42108,22.33307,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6700000-E240000
http://tun.fi/HR.3211/246301678-U,2024-09-19,2024,60.54222,25.11114,20.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6710000-E390000
http://tun.fi/HR.3211/242813566-U,2024-09-20,2024,60.15303,24.36648,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6670000-E350000
http://tun.fi/HR.3211/242826785-U,2024-09-20,2024,60.44437,22.38741,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6700000-E240000
http://tun.fi/HR.3211/242874155-U,2024-09-20,2024,60.58333,22.42616,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6720000-E240000
http://tun.fi/HR.3211/244642880-U,2024-09-20,2024,61.64573,24.99617,15.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Etelä-Häme (EH),ETRS-TM35FIN-10km-N6830000-E390000
http://tun.fi/HR.3211/243051492-U,2024-09-21,2024,60.31051,24.22761,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6680000-E340000
http://tun.fi/HR.3211/243051608-U,2024-09-21,2024,60.31042,24.2278,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6680000-E340000
http://tun.fi/HR.3211/243051767-U,2024-09-21,2024,60.31038,24.22792,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6680000-E340000
http://tun.fi/HR.3211/243051837-U,2024-09-21,2024,60.31047,24.22796,10.0,NEUTRAL,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6680000-E340000
http://tun.fi/HR.3211/243071482-U,2024-09-21,2024,61.12883,21.49369,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Satakunta (St),ETRS-TM35FIN-10km-N6780000-E200000
http://tun.fi/JX.1771857#12,2024-09-24,2024,60.269847,24.64515,1.0,NEUTRAL,Photographed,The Atlas of Finnish Fungi,Uusimaa (U),ETRS-TM35FIN-10km-N6680000-E360000
http://tun.fi/HR.3211/244114998-U,2024-09-26,2024,60.94646,26.81359,14.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Etelä-Savo (ES),ETRS-TM35FIN-10km-N6750000-E480000
http://tun.fi/HR.3211/244267075-U,2024-09-27,2024,60.47289,22.1726,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Varsinais-Suomi (V),ETRS-TM35FIN-10km-N6710000-E230000
http://tun.fi/HR.3211/244278163-U,2024-09-27,2024,60.18736,25.14509,10.0,COMMUNITY_VERIFIED,Photographed,iNaturalist Suomi Finland,Uusimaa (U),ETRS-TM35FIN-10km-N6670000-E390000
