sample_group	scientific_name	event_datetime	latitude_wgs84	longitude_wgs84	etrs_tm35fin_easting_m	etrs_tm35fin_northing_m	coordinate_accuracy_m
boletus_edulis	Boletus edulis	2023-07-30/2023-07-30	65.02444	25.64778	436295.891	7211859.853	100
boletus_edulis	Boletus edulis	2023-08-08/2023-08-08	65.05832	25.47133	428075.728	7215824.323	10
boletus_edulis	Boletus edulis	2023-08-22/2023-08-22	65.01594	25.50567	429579.515	7211063.515	10
boletus_edulis	Boletus edulis	2023-09-08/2023-09-08	64.97709	25.74487	440764.615	7206489.255	61
boletus_edulis	Boletus edulis	2023-09-01/2023-09-01	65.01921	25.65449	436599.559	7211270.335	42
boletus_edulis	Boletus edulis	2020-10-07/2020-10-07	61.33909	22.9657	284227.696	6807227.41	459
boletus_edulis	Boletus edulis	2023-08-13/2023-08-13	60.2411	25.15272	397722.628	6679693.958	100
boletus_edulis	Boletus edulis	2023-09-19/2023-09-19	61.34706	25.30968	409583.866	6802615.978	31
boletus_edulis	Boletus edulis	2019-09-22/2019-09-22	63.87406	23.07896	307442.781	7088899.294	488
boletus_edulis	Boletus edulis	2023-09-07/2023-09-07	60.30521	24.39797	356228.878	6688239.141	10
boletus_edulis	Boletus edulis	2024-07-22/2024-07-22	62.22108	25.84259	439820.053	6899346.887	10
boletus_edulis	Boletus edulis	2024-07-22/2024-07-22	63.29941	27.38018	519059.512	7019005.802	10
boletus_edulis	Boletus edulis	2024-07-22/2024-07-22	63.29936	27.38133	519117.198	7019000.574	50
boletus_edulis	Boletus edulis	2024-07-29/2024-07-29	60.25484	24.44362	358532.932	6682533.483	10
boletus_edulis	Boletus edulis	2023-07-29/2023-07-29	61.82607	28.87075	598533.238	6856222.605	100
boletus_edulis	Boletus edulis	2024-08-06/2024-08-06	61.59788	27.12793	506788.769	6829391.566	10
boletus_edulis	Boletus edulis	2024-08-07/2024-08-07	61.61235	27.12777	506777.116	6831003.426	10
boletus_edulis	Boletus edulis	2024-08-11/2024-08-11	60.24311	25.21757	401318.591	6679819.012	10
boletus_edulis	Boletus edulis	2024-08-14/2024-08-14	60.92811	23.8208	327708.52	6758959.322	48
boletus_edulis	Boletus edulis	2024-08-14/2024-08-14	60.06488	24.28711	349005.987	6661735.433	10
boletus_edulis	Boletus edulis	2024-08-15/2024-08-15	60.35478	25.10067	395205.922	6692433.086	52
boletus_edulis	Boletus edulis	2024-08-15/2024-08-15	60.72995	23.57014	312978.711	6737593.795	10
boletus_edulis	Boletus edulis	2024-08-15/2024-08-15	61.50766	23.80544	330031.828	6823500.969	10
boletus_edulis	Boletus edulis	2024-08-17/2024-08-17	60.05973	24.23931	346322.607	6661272.386	74
boletus_edulis	Boletus edulis	2024-08-17/2024-08-17	60.64543	25.07486	394728.899	6724836.476	11
boletus_edulis	Boletus edulis	2024-08-17/2024-08-17	60.42169	25.07347	393923.332	6699926.539	20
boletus_edulis	Boletus edulis	2024-08-17/2024-08-17	60.85788	25.69402	429052.847	6747663.811	100
boletus_edulis	Boletus edulis	2024-08-17/2024-08-17	61.2892	25.58741	424298.603	6795818.968	10
boletus_edulis	Boletus edulis	2024-08-18/2024-08-18	61.64988	25.00511	394327.731	6836796.646	10
boletus_edulis	Boletus edulis	2024-08-18/2024-08-18	61.05872	21.38308	197023.758	6782339.508	10
boletus_edulis	Boletus edulis	2024-08-18/2024-08-18	60.50215	22.46681	251124.697	6715912.458	69
boletus_edulis	Boletus edulis	2024-08-18/2024-08-18	60.70178	25.2066	402102.766	6730907.301	10
boletus_edulis	Boletus edulis	2024-08-19/2024-08-19	60.70695	26.6436	480546.547	6730199.594	10
boletus_edulis	Boletus edulis	2024-08-19/2024-08-19	60.4784	21.94568	222347.472	6715358.271	10
boletus_edulis	Boletus edulis	2024-08-18/2024-08-18	60.36998	25.00075	389745.373	6694288.482	100
boletus_edulis	Boletus edulis	2024-08-18/2024-08-18	60.23854	25.01389	390029.027	6679632.197	100
boletus_edulis	Boletus edulis	2024-08-20/2024-08-20	62.38292	27.66324	534301.497	6917014.922	10
boletus_edulis	Boletus edulis	2024-08-21/2024-08-21	60.50458	22.45018	250231.403	6716245.713	49
boletus_edulis	Boletus edulis	2024-08-21/2024-08-21	60.9239	21.49672	201881.102	6766838.124	10
boletus_edulis	Boletus edulis	2024-08-21/2024-08-21	60.8468	23.04813	285320.687	6752192.896	10
boletus_edulis	Boletus edulis	2024-08-21/2024-08-21	60.84714	23.04867	285352.278	6752228.95	10
boletus_edulis	Boletus edulis	2024-08-21/2024-08-21	60.19338	24.59235	366511.247	6675381.989	10
boletus_edulis	Boletus edulis	2024-08-21/2024-08-21	60.4802	25.10961	396099.919	6706383.636	10
boletus_edulis	Boletus edulis	2024-08-22/2024-08-22	60.47623	22.38715	246553.78	6713334.539	10
boletus_edulis	Boletus edulis	2024-08-24/2024-08-24	61.22256	27.4215	522637.394	6787650.488	100
boletus_edulis	Boletus edulis	2024-08-24/2024-08-24	60.30556	25.20876	401019.763	6686785.697	100
boletus_edulis	Boletus edulis	2024-08-24/2024-08-24	60.3091	25.21894	401592.843	6687164.625	100
boletus_edulis	Boletus edulis	2024-08-25/2024-08-25	63.64397	27.18818	509321.215	7057355.459	100
boletus_edulis	Boletus edulis	2024-08-27/2024-08-27	63.08149	29.81691	642251.991	6997787.515	100
boletus_edulis	Boletus edulis	2024-08-29/2024-08-29	60.29721	24.61706	368298.444	6686890.945	10
boletus_edulis	Boletus edulis	2024-08-30/2024-08-30	62.18439	25.74676	434758.68	6895352.763	851
boletus_edulis	Boletus edulis	2024-08-31/2024-08-31	61.45548	23.74467	326510.179	6817853.638	100
boletus_edulis	Boletus edulis	2024-09-01/2024-09-01	60.47627	25.15024	398320.334	6705882.61	100
boletus_edulis	Boletus edulis	2024-09-02/2024-09-02	65.91053	24.75498	397766.847	7311766.301	10
boletus_edulis	Boletus edulis	2024-09-02/2024-09-02	66.65517	27.53309	523572.584	7393040.949	100
boletus_edulis	Boletus edulis	2024-09-02/2024-09-02	62.65285	29.22233	613884.791	6948873.874	10
boletus_edulis	Boletus edulis	2024-09-01/2024-09-01	61.45389	27.40605	521647.394	6813412.768	21
boletus_edulis	Boletus edulis	2024-09-02/2024-09-02	65.05718	25.46066	427570.684	7215709.489	100
boletus_edulis	Boletus edulis	2024-09-03/2024-09-03	61.8755	28.86037	597828.972	6861711.731	100
boletus_edulis	Boletus edulis	2024-09-04/2024-09-04	65.06092	25.46968	428005.125	7216115.903	30
boletus_edulis	Boletus edulis	2024-09-04/2024-09-04	65.06199	25.46499	427787.412	7216240.478	10
boletus_edulis	Boletus edulis	2024-09-05/2024-09-05	63.17786	27.62817	531624.303	7005560.816	10
boletus_edulis	Boletus edulis	2024-09-05/2024-09-05	63.64626	27.17151	508494.809	7057608.304	100
boletus_edulis	Boletus edulis	2024-09-05/2024-09-05	65.0564	25.47902	428432.339	7215601.658	24
boletus_edulis	Boletus edulis	2024-09-06/2024-09-06	60.13413	24.3407	352297.977	6669322.363	10
boletus_edulis	Boletus edulis	2024-09-04/2024-09-04	64.89413	25.6206	434698.804	7197367.514	924
boletus_edulis	Boletus edulis	2024-08-22/2024-08-22	60.23217	25.08334	393853.132	6678809.245	100
boletus_edulis	Boletus edulis	2024-09-07/2024-09-07	66.49869	25.74422	444122.651	7376058.834	10
boletus_edulis	Boletus edulis	2024-09-07/2024-09-07	60.20069	25.16603	398334.384	6675174.05	100
boletus_edulis	Boletus edulis	2024-09-07/2024-09-07	60.08054	24.2953	349533.02	6663459.813	10
boletus_edulis	Boletus edulis	2024-09-07/2024-09-07	60.19955	25.16432	398236.077	6675049.754	100
boletus_edulis	Boletus edulis	2024-09-07/2024-09-07	66.13444	25.01337	410320.682	7336317.231	10
boletus_edulis	Boletus edulis	2024-09-08/2024-09-08	64.83328	25.68814	437755.232	7190519.16	10
boletus_edulis	Boletus edulis	2024-09-09/2024-09-09	60.26906	25.19133	399945.318	6682747.916	10
